N	Seq1	Seq2	Seq3	Seq4
1	1 | SA150_0001 | . | Chromosomal replication initiator protein DnaA | dir | [401..1762]	1 | SA597_0001 | . | Chromosomal replication initiator protein DnaA | dir | [101..1462]	1 | K8B78_00005 | dnaA | chromosomal replication initiator protein DnaA | dir | [101..1462]	1 | HMPRNC0000_0001 | dnaA | Chromosomal replication initiator protein DnaA | dir | [393..1754]
2	2 | SA150_0002 | . | DNA polymerase III beta subunit (EC 2.7.7.7) | dir | [2040..3173]	2 | SA597_0002 | . | DNA polymerase III beta subunit (EC 2.7.7.7) | dir | [1740..2873]	2 | K8B78_00010 | dnaN | DNA polymerase III subunit beta | dir | [1740..2873]	2 | HMPRNC0000_0002 | dnaN | DNA polymerase III beta subunit | dir | [2032..3165]
3	3 | SA150_0003 | . | Uncharacterized S4 RNA-binding-domain protein YbcJ | dir | [3563..3799]	3 | SA597_0003 | . | Uncharacterized S4 RNA-binding-domain protein YbcJ | dir | [3264..3500]	3 | K8B78_00015 | yaaA | S4 domain-containing protein YaaA | dir | [3254..3499]	3 | HMPRNC0000_0003 | yaaA | conserved protein YaaA | dir | [3555..3791]
4	4 | SA150_0004 | . | DNA recombination and repair protein RecF | dir | [3796..4908]	4 | SA597_0004 | . | DNA recombination and repair protein RecF | dir | [3497..4609]	4 | K8B78_00020 | recF | DNA replication/repair protein RecF | dir | [3496..4608]	4 | HMPRNC0000_0004 | recF | DNA recombination and repair protein RecF | dir | [3788..4900]
5	5 | SA150_0005 | . | DNA gyrase subunit B (EC 5.99.1.3) | dir | [4918..6852]	5 | SA597_0005 | . | DNA gyrase subunit B (EC 5.99.1.3) | dir | [4619..6553]	5 | K8B78_00025 | gyrB | DNA topoisomerase (ATP-hydrolyzing) subunit B | dir | [4618..6552]	5 | HMPRNC0000_0005 | gyrB | DNA gyrase subunit B | dir | [4910..6844]
6	6 | SA150_0006 | . | DNA gyrase subunit A (EC 5.99.1.3) | dir | [6889..9552]	6 | SA597_0006 | . | DNA gyrase subunit A (EC 5.99.1.3) | dir | [6590..9253]	6 | K8B78_00030 | gyrA | DNA gyrase subunit A | dir | [6589..9249]	6 | HMPRNC0000_0006 | gyrA | DNA gyrase subunit A | dir | [6881..9544]
7	7 | SA150_0007 | . | ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) | rev | [9639..10451]	7 | SA597_0007 | . | ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) | rev | [9341..10153]	7 | K8B78_00035 | . | NAD(P)H-hydrate dehydratase | rev | [9337..10149]	7 | HMPRNC0000_0007 | . | ADP-dependent (S)-NAD(P)H-hydrate dehydratase | rev | [9631..10203]
8	8 | SA150_0008 | . | Histidine ammonia-lyase (EC 4.3.1.3) | dir | [10777..12291]	8 | SA597_0008 | . | Histidine ammonia-lyase (EC 4.3.1.3) | dir | [10479..11993]	8 | K8B78_00040 | hutH | histidine ammonia-lyase | dir | [10475..11989]	8 | HMPRNC0000_0008 | hutH | Histidine ammonia-lyase | dir | [10750..12264]
9	9 | SA150_0009 | . | Seryl-tRNA synthetase (EC 6.1.1.11) | dir | [12670..13956]	9 | SA597_0009 | . | Seryl-tRNA synthetase (EC 6.1.1.11) | dir | [12371..13657]	9 | K8B78_00045 | serS | serine--tRNA ligase | dir | [12367..13653]	9 | HMPRNC0000_0010 | serS | Seryl-tRNA synthetase | dir | [12643..13929]
10	10 | SA150_0010 | . | Branched-chain amino acid permease | dir | [14608..15303]	10 | SA597_0010 | . | Branched-chain amino acid permease | dir | [14306..15001]	10 | K8B78_00050 | . | AzlC family ABC transporter permease | dir | [14297..14992]	10 | HMPRNC0000_0011 | azlC | Branched-chain amino acid permease | dir | [14580..15275]
11	11 | SA150_0011 | . | hypothetical protein | dir | [15300..15629]	11 | SA597_0011 | . | hypothetical protein | dir | [14998..15327]	11 | K8B78_00055 | . | AzlD domain-containing protein | dir | [14989..15318]	11 | HMPRNC0000_0012 | . | hypothetical protein | dir | [15272..15601]
12	12 | SA150_0012 | . | Homoserine O-acetyltransferase (EC 2.3.1.31) | dir | [15990..16958]	12 | SA597_0012 | . | Homoserine O-acetyltransferase (EC 2.3.1.31) | dir | [15690..16658]	12 | K8B78_00060 | . | alpha/beta fold hydrolase family protein | dir | [15680..16648]	12 | HMPRNC0000_0013 | metX | Homoserine O-acetyltransferase | dir | [15963..16931]
13	13 | SA150_0013 | . | FIG003573: hypothetical protein | dir | [17266..18189]	13 | SA597_0013 | . | FIG003573: hypothetical protein | dir | [16964..17887]	13 | K8B78_00065 | . | YybS family protein | dir | [16941..17879]	13 | HMPRNC0000_0014 | . | hypothetical protein | dir | [17240..18163]
14	14 | SA150_0014 | . | Cyclic-di-AMP phosphodiesterase GdpP | dir | [18204..20171]	14 | SA597_0014 | . | Cyclic-di-AMP phosphodiesterase GdpP | dir | [17902..19869]	14 | K8B78_00070 | gdpP | cyclic-di-AMP phosphodiesterase GdpP | dir | [17894..19861]	14 | HMPRNC0000_0015 | . | Cyclic-di-AMP phosphodiesterase GdpP | dir | [18178..20145]
15	15 | SA150_0015 | . | LSU ribosomal protein L9p | dir | [20168..20614]	15 | SA597_0015 | . | LSU ribosomal protein L9p | dir | [19866..20312]	15 | K8B78_00075 | rplI | 50S ribosomal protein L9 | dir | [19858..20304]	15 | HMPRNC0000_0016 | rplI | LSU ribosomal protein L9p | dir | [20142..20588]
16	16 | SA150_0016 | . | Replicative DNA helicase (DnaB) (EC 3.6.4.12) | dir | [20646..22046]	16 | SA597_0016 | . | Replicative DNA helicase (DnaB) (EC 3.6.4.12) | dir | [20344..21744]	16 | K8B78_00080 | dnaB | replicative DNA helicase | dir | [20336..21736]	16 | HMPRNC0000_0017 | dnaB | Replicative DNA helicase (DnaB) | dir | [20620..22020]
17	17 | SA150_0017 | . | Adenylosuccinate synthetase (EC 6.3.4.4) | dir | [22324..23607]	17 | SA597_0017 | . | Adenylosuccinate synthetase (EC 6.3.4.4) | dir | [22022..23305]	17 | K8B78_00085 | . | adenylosuccinate synthase | dir | [22014..23297]	17 | HMPRNC0000_0018 | purA | Adenylosuccinate synthetase | dir | [22298..23581]
